Date,Revenue,Expenses
2023-01-31,10500,8200
2023-02-28,11200,8300
2023-03-31,12000,8500
2023-04-30,12500,8600
2023-05-31,14000,9000
2023-06-30,16500,9500
2023-07-31,17000,9800
2023-08-31,16800,9700
2023-09-30,14500,9200
2023-10-31,13000,8800
2023-11-30,15500,9500
2023-12-31,21000,12000
2024-01-31,11500,8600
2024-02-29,12200,8700
2024-03-31,13500,9000
2024-04-30,14000,9200
2024-05-31,15500,9800
2024-06-30,18000,10500
2024-07-31,19500,11000
2024-08-31,18500,10800
2024-09-30,16000,10000
2024-10-31,14500,9500
2024-11-30,17500,10500
2024-12-31,23000,13500
